Event ID,Event Name,Category,Subcategory,Description,Primary Objective,Target Occupation,Target Age Band,Target Tenure Band,Target Interests,Community Size,Budget,Planning Effort,Indoor/Outdoor,Weather Dependency,Expected Attendance %,Networking Score,Community Building Score,Entertainment Score,Learning Score,Physical Activity Score,Suitable For New Residents,Suitable For Long-term Residents,Suitable For Students,Suitable For Working Professionals,Recommended Frequency,Event Type,Ideal Community Stage,Priority,Ideal Group Size,Maximum Capacity,Event Duration (Hours),Vendor Required,Equipment Required,Food Included,Repeat Gap (Days),Suitable Season,Festival Linked,Cost Estimate (₹),Community Impact
E001,Welcome Mixer,Social,Icebreaker,Meet new residents,Integration,"Student,Working Professional",All,New,Social,All,Low,Low,Indoor,No,80,60,95,70,20,10,Yes,No,Yes,Yes,Monthly,Major,Growing,High,30-80,100,2,No,No,No,60,All,No,5000,10
E002,Networking Mixer,Professional,Networking,Career networking,Connections,Working Professional,"23-27,28-35","1-3 Months,3-6 Months","Career,Networking,Learning",Medium,Low,Medium,Indoor,No,70,95,70,30,70,10,Yes,Yes,No,Yes,Quarterly,Major,Balanced,High,30-80,100,2,No,No,No,60,All,No,5000,9
E003,Sports Tournament,Sports,Competition,Team sports,Engagement,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Sports,Competition,Outdoor",Large,Medium,High,Outdoor,Yes,75,50,90,80,10,95,No,Yes,Yes,Yes,Quarterly,Major,All,High,30-80,100,2,No,No,No,60,Winter,No,5000,9
E004,Movie Night,Entertainment,Screening,Movie screening,Relaxation,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Movies,Entertainment,Social",Large,Low,Low,Indoor,No,85,30,65,95,5,5,Yes,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,7
E005,Regional Food Night,Cultural,Food,Regional cuisine,Cultural exchange,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Food,Culture,Social",Large,Medium,Medium,Indoor,No,78,55,88,75,15,5,Yes,Yes,Yes,Yes,Quarterly,Major,All,High,30-80,100,2,No,No,No,60,All,No,5000,8
E006,Board Game Night,Entertainment,Games,Tabletop games,Social bonding,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Games,Strategy,Social",Medium,Low,Low,Indoor,No,65,45,82,85,10,5,Yes,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E007,Skill Share,Learning,Workshop,Residents teach skills,Learning,Working Professional,"23-27,28-35",3-6 Months,"Learning,Knowledge,Career",Small,Low,Medium,Indoor,No,55,70,72,40,95,5,No,Yes,No,Yes,Monthly,Minor,Balanced,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E008,Festival Celebration,Cultural,Festival,Celebrate festivals,Community,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Culture,Festival,Social",Large,High,High,Mixed,No,90,60,95,90,20,10,Yes,Yes,Yes,Yes,Festival,Major,All,High,30-80,100,2,No,No,No,60,All,Yes,5000,10
E009,Wellness Session,Wellness,Health,Yoga/Meditation,Wellbeing,"Student,Working Professional",All,6+ Months,"Fitness,Wellness,Health",Medium,Medium,Medium,Indoor,No,60,30,70,35,80,50,No,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E010,Open Mic,Entertainment,Performance,Talent showcase,Expression,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Music,Performance,Entertainment",Medium,Low,Medium,Indoor,No,68,55,78,92,20,5,Yes,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E011,Karaoke Night,Entertainment,Music,Karaoke,Fun,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Music,Performance,Entertainment",Medium,Low,Low,Indoor,No,82,50,80,96,5,5,Yes,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E012,Sport Screening,Entertainment,Sports Viewing,Watch match,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Sports,Competition,Outdoor",Large,Low,Low,Indoor,No,92,40,75,98,5,5,Yes,Yes,Yes,Yes,Seasonal,Major,All,High,30-80,100,2,No,No,No,60,All,No,5000,8
E013,Stand-up Comedy,Entertainment,Comedy,Comedy show,Entertainment,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Comedy,Entertainment,Social",Large,Medium,Medium,Indoor,No,74,35,72,97,5,5,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E014,Trivia Night,Entertainment,Quiz,Team trivia,Interaction,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Quiz,Learning,Competition",Medium,Low,Low,Indoor,No,66,45,80,88,35,5,Yes,Yes,Yes,Yes,Monthly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E015,Hackathon,Technology,Coding,Build projects,Innovation,Working Professional,"18-22,23-27,28-35","3-6 Months,6-12 Months,1+ Years","Technology,Innovation,Coding",Medium,Medium,High,Indoor,No,50,85,65,30,100,10,No,Yes,No,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E016,Startup Meetup,Professional,Entrepreneurship,Startup talks,Networking,Working Professional,"23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Startup,Networking,Career",Medium,Low,Medium,Indoor,No,58,92,60,25,90,5,No,Yes,No,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E017,Resume Workshop,Career,Workshop,Resume review,Career,Student,"18-22,23-27",New,"Career,Networking,Learning",Small,Low,Low,Indoor,No,52,70,50,20,95,5,Yes,No,Yes,No,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E018,Mock Interviews,Career,Workshop,Interview practice,Career,Student,"18-22,23-27",New,"Career,Networking,Learning",Small,Low,Medium,Indoor,No,48,75,45,20,98,5,Yes,No,Yes,No,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E019,Photography Walk,Creative,Outdoor,Photography,Creativity,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Photography,Creative,Outdoor",Medium,Low,Medium,Outdoor,Yes,57,45,68,65,40,60,No,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,Winter,No,5000,5
E020,Treasure Hunt,Games,Adventure,Campus hunt,Teamwork,"Student,Working Professional","18-22,23-27,28-35","New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Adventure,Outdoor,Teamwork",Large,Medium,High,Outdoor,Yes,81,65,90,90,20,80,Yes,Yes,Yes,Yes,Quarterly,Major,All,Medium,30-80,100,2,No,No,No,60,Winter,No,5000,5
E021,Art Workshop,General,Community,Art Workshop,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E022,Tie Dye Workshop,General,Community,Tie Dye Workshop,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E023,Neon Art,General,Community,Neon Art,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E024,Pottery Workshop,General,Community,Pottery Workshop,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E025,Coffee Brewing,General,Community,Coffee Brewing,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E026,Barista Workshop,General,Community,Barista Workshop,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E027,Bartending Workshop,General,Community,Bartending Workshop,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E028,Dance Class,General,Community,Dance Class,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E029,Zumba,General,Community,Zumba,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E030,Chess Tournament,General,Community,Chess Tournament,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E031,Badminton Tournament,General,Community,Badminton Tournament,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E032,Football Match,General,Community,Football Match,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E033,Cricket Match,General,Community,Cricket Match,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E034,Cycling Club,General,Community,Cycling Club,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E035,Book Club,General,Community,Book Club,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E036,Poetry Night,General,Community,Poetry Night,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E037,Language Exchange,General,Community,Language Exchange,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E038,Volunteer Drive,General,Community,Volunteer Drive,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E039,Blood Donation Camp,General,Community,Blood Donation Camp,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E040,Women Wellness,General,Community,Women Wellness,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E041,Financial Literacy,General,Community,Financial Literacy,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E042,Investment Basics,General,Community,Investment Basics,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E043,Cooking Class,General,Community,Cooking Class,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E044,Dessert Workshop,General,Community,Dessert Workshop,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E045,DIY Crafts,General,Community,DIY Crafts,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E046,Plantation Drive,General,Community,Plantation Drive,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E047,Music Jam,General,Community,Music Jam,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E048,Acoustic Night,General,Community,Acoustic Night,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
E049,Cultural Exchange,General,Community,Cultural Exchange,Engagement,"Student,Working Professional",All,"New,1-3 Months,3-6 Months,6-12 Months,1+ Years","Social,Community,Engagement",Medium,Medium,Medium,Mixed,No,65,50,75,70,40,20,Yes,Yes,Yes,Yes,Quarterly,Minor,All,Medium,30-80,100,2,No,No,No,60,All,No,5000,5
